CMDLINE /home/fred/python_ws/audio_classifier/bin/python3.8 onnx_stream_wav_profile.py
MEM 1.128906 1641149673.4955
MEM 20.855469 1641149673.5958
MEM 32.976562 1641149673.6961
MEM 43.050781 1641149673.7964
MEM 53.597656 1641149673.8968
MEM 66.875000 1641149673.9972
MEM 70.824219 1641149674.0975
MEM 96.722656 1641149674.1979
MEM 105.218750 1641149674.2983
MEM 130.878906 1641149674.3986
MEM 148.328125 1641149674.4989
MEM 159.097656 1641149674.5991
MEM 179.128906 1641149674.6995
MEM 184.632812 1641149674.7998
MEM 192.078125 1641149674.9002
MEM 202.386719 1641149675.0005
MEM 215.492188 1641149675.1008
MEM 216.062500 1641149675.2011
MEM 236.492188 1641149675.3016
MEM 261.535156 1641149675.4020
MEM 274.425781 1641149675.5024
MEM 274.855469 1641149675.6028
MEM 275.035156 1641149675.7033
MEM 275.035156 1641149675.8038
MEM 275.035156 1641149675.9042
MEM 275.035156 1641149676.0045
MEM 275.035156 1641149676.1048
MEM 275.035156 1641149676.2051
MEM 275.035156 1641149676.3055
MEM 275.035156 1641149676.4058
MEM 275.035156 1641149676.5061
MEM 275.035156 1641149676.6064
MEM 275.035156 1641149676.7068
MEM 275.035156 1641149676.8071
MEM 275.554688 1641149676.9075
MEM 275.554688 1641149677.0079
MEM 275.554688 1641149677.1082
MEM 275.554688 1641149677.2085
MEM 275.554688 1641149677.3091
MEM 275.554688 1641149677.4095
MEM 275.554688 1641149677.5098
MEM 275.554688 1641149677.6103
MEM 275.554688 1641149677.7107
MEM 275.554688 1641149677.8111
MEM 275.554688 1641149677.9114
MEM 275.554688 1641149678.0117
MEM 275.554688 1641149678.1120
MEM 275.554688 1641149678.2123
MEM 275.554688 1641149678.3127
MEM 275.554688 1641149678.4130
MEM 275.554688 1641149678.5133
MEM 275.554688 1641149678.6136
MEM 275.554688 1641149678.7139
MEM 275.554688 1641149678.8142
MEM 275.554688 1641149678.9147
MEM 275.554688 1641149679.0150
MEM 275.554688 1641149679.1153
MEM 275.554688 1641149679.2157
MEM 275.554688 1641149679.3160
MEM 275.554688 1641149679.4163
MEM 275.554688 1641149679.5166
MEM 275.554688 1641149679.6169
MEM 275.554688 1641149679.7175
MEM 275.554688 1641149679.8180
MEM 275.554688 1641149679.9187
MEM 275.554688 1641149680.0191
MEM 275.554688 1641149680.1194
MEM 275.554688 1641149680.2198
MEM 275.554688 1641149680.3201
MEM 275.554688 1641149680.4205
MEM 275.554688 1641149680.5208
MEM 275.554688 1641149680.6213
MEM 275.554688 1641149680.7216
MEM 275.554688 1641149680.8219
MEM 275.554688 1641149680.9223
